outcome,provider_left,provider_right,pearson_r,spearman_rho,mae,rmse,mean_difference_left_minus_right,n_items
baseline_score,deepseek_v4_flash,gpt_oss_120b,0.6005138005755077,0.5895564137232352,259.61736334405145,353.0340291295907,-48.4983922829582,311
baseline_score,deepseek_v4_flash,llama33_70b,0.6822660072560568,0.6079883827445661,284.11575562700966,364.61162000204337,-212.64308681672026,311
baseline_score,deepseek_v4_flash,nemotron3_nano_30b,0.4250963848565772,0.34038949992170453,319.68167202572346,420.07539133487063,-18.581993569131832,311
baseline_score,deepseek_v4_flash,qwen3_32b,0.6700235925555259,0.6339311135593915,300.7556270096463,383.28139403008635,-208.68488745980707,311
baseline_score,gpt_oss_120b,llama33_70b,0.6457778105067828,0.5470275379308945,258.7234726688103,349.247095567104,-164.14469453376205,311
baseline_score,gpt_oss_120b,nemotron3_nano_30b,0.5746869858205927,0.45702742531756413,263.2475884244373,359.02417763796547,29.916398713826368,311
baseline_score,gpt_oss_120b,qwen3_32b,0.7167327197040614,0.6409922217995228,241.14469453376205,336.04494608278424,-160.18649517684887,311
baseline_score,llama33_70b,nemotron3_nano_30b,0.5513530371080493,0.4565482326874145,302.1897106109325,396.822171775799,194.06109324758842,311
baseline_score,llama33_70b,qwen3_32b,0.687936313853245,0.5398246000960683,214.59485530546624,294.95223331192346,3.9581993569131835,311
baseline_score,nemotron3_nano_30b,qwen3_32b,0.6096198627905525,0.41376514665650643,282.5209003215434,395.57610720522524,-190.10289389067523,311
post_score,deepseek_v4_flash,gpt_oss_120b,0.5885481961972766,0.582840404119919,252.09646302250803,345.1039547003761,-26.340836012861736,311
post_score,deepseek_v4_flash,llama33_70b,0.6817836660410083,0.6084713463991077,273.76848874598073,352.5221116870484,-199.2733118971061,311
post_score,deepseek_v4_flash,nemotron3_nano_30b,0.32465775026953925,0.3023168853566838,397.85209003215436,510.1336940960575,190.4694533762058,311
post_score,deepseek_v4_flash,qwen3_32b,0.6609713113876357,0.6279751655341953,300.05787781350483,380.9686587779382,-205.44694533762058,311
post_score,gpt_oss_120b,llama33_70b,0.6348976577386671,0.5529503430328533,255.967845659164,344.7872544103951,-172.93247588424438,311
post_score,gpt_oss_120b,nemotron3_nano_30b,0.32883360801822165,0.2663852761167018,395.7363344051447,509.24943824583426,216.81028938906752,311
post_score,gpt_oss_120b,qwen3_32b,0.7051574290198693,0.6422956686993185,254.28938906752413,342.2654523485866,-179.10610932475885,311
post_score,llama33_70b,nemotron3_nano_30b,0.3026477134417324,0.2398149522471271,469.5498392282958,594.2429429460291,389.7427652733119,311
post_score,llama33_70b,qwen3_32b,0.6824795817529022,0.5485588752433713,213.15755627009645,290.7605726554625,-6.173633440514469,311
post_score,nemotron3_nano_30b,qwen3_32b,0.32933752006841904,0.22386527865647904,479.79421221864953,615.9037486918984,-395.91639871382637,311
delta_score,deepseek_v4_flash,gpt_oss_120b,0.6770771164927696,0.4523237743054198,27.366559485530548,32.57763421127842,22.157556270096464,311
delta_score,deepseek_v4_flash,llama33_70b,0.6791310987527993,0.4846205304979825,19.607717041800644,25.68846250964282,13.369774919614148,311
delta_score,deepseek_v4_flash,nemotron3_nano_30b,0.3416376179173185,0.44569957745144245,226.44694533762058,423.4098642961448,209.05144694533763,311
delta_score,deepseek_v4_flash,qwen3_32b,0.6917131951423029,0.31615354796129763,6.794212218649518,10.728901377067572,3.237942122186495,311
delta_score,gpt_oss_120b,llama33_70b,0.6354100257170335,0.3117286372615827,19.926045016077172,26.73816112693917,-8.787781350482316,311
delta_score,gpt_oss_120b,nemotron3_nano_30b,0.27497472070347245,0.4247654268504877,224.52733118971062,410.1550016785474,186.89389067524115,311
delta_score,gpt_oss_120b,qwen3_32b,0.6122940233029738,0.2322182303322715,25.69774919614148,31.12757692169561,-18.919614147909968,311
delta_score,llama33_70b,nemotron3_nano_30b,0.23347170687128568,0.3143200193017367,226.7427652733119,415.6598790456345,195.6816720257235,311
delta_score,llama33_70b,qwen3_32b,0.6468033861799747,0.31533405633226613,17.578778135048232,24.459231780507835,-10.131832797427652,311
delta_score,nemotron3_nano_30b,qwen3_32b,0.2992977559681052,0.25401183436086255,225.66559485530547,422.1031784381497,-205.81350482315113,311
abs_delta_score,deepseek_v4_flash,gpt_oss_120b,0.07784542355587074,0.22665666190075295,27.366559485530548,32.57763421127842,-26.241157556270096,311
abs_delta_score,deepseek_v4_flash,llama33_70b,0.14410984990235107,0.3061008303546404,19.607717041800644,25.68846250964282,-17.95498392282958,311
abs_delta_score,deepseek_v4_flash,nemotron3_nano_30b,0.2134459275341705,0.21890171105968878,226.44694533762058,423.4098642961448,-216.92926045016077,311
abs_delta_score,deepseek_v4_flash,qwen3_32b,0.20634837537101544,0.034321344252204296,6.794212218649518,10.728901377067572,-2.4533762057877815,311
abs_delta_score,gpt_oss_120b,llama33_70b,0.01824191013337466,0.06962595819871067,19.926045016077172,26.73816112693917,8.286173633440514,311
abs_delta_score,gpt_oss_120b,nemotron3_nano_30b,0.1340980973168251,0.2371779819334258,224.52733118971062,410.1550016785474,-190.6881028938907,311
abs_delta_score,gpt_oss_120b,qwen3_32b,0.04827327944685196,-0.033257878343517074,25.69774919614148,31.12757692169561,23.787781350482316,311
abs_delta_score,llama33_70b,nemotron3_nano_30b,0.03563256714390797,0.05982450387192122,226.7427652733119,415.6598790456345,-198.9742765273312,311
abs_delta_score,llama33_70b,qwen3_32b,0.13377912143847207,0.029651967946675985,17.578778135048232,24.459231780507835,15.5016077170418,311
abs_delta_score,nemotron3_nano_30b,qwen3_32b,0.1884214044208714,0.06057908896607833,225.66559485530547,422.1031784381497,214.475884244373,311
adversarial_effectivity,deepseek_v4_flash,gpt_oss_120b,0.07784542355587074,0.22665666190075295,27.366559485530548,32.57763421127842,-26.241157556270096,311
adversarial_effectivity,deepseek_v4_flash,llama33_70b,0.14410984990235107,0.3061008303546404,19.607717041800644,25.68846250964282,-17.95498392282958,311
adversarial_effectivity,deepseek_v4_flash,nemotron3_nano_30b,0.2134459275341705,0.21890171105968878,226.44694533762058,423.4098642961448,-216.92926045016077,311
adversarial_effectivity,deepseek_v4_flash,qwen3_32b,0.20634837537101544,0.034321344252204296,6.794212218649518,10.728901377067572,-2.4533762057877815,311
adversarial_effectivity,gpt_oss_120b,llama33_70b,0.01824191013337466,0.06962595819871067,19.926045016077172,26.73816112693917,8.286173633440514,311
adversarial_effectivity,gpt_oss_120b,nemotron3_nano_30b,0.1340980973168251,0.2371779819334258,224.52733118971062,410.1550016785474,-190.6881028938907,311
adversarial_effectivity,gpt_oss_120b,qwen3_32b,0.04827327944685196,-0.033257878343517074,25.69774919614148,31.12757692169561,23.787781350482316,311
adversarial_effectivity,llama33_70b,nemotron3_nano_30b,0.03563256714390797,0.05982450387192122,226.7427652733119,415.6598790456345,-198.9742765273312,311
adversarial_effectivity,llama33_70b,qwen3_32b,0.13377912143847207,0.029651967946675985,17.578778135048232,24.459231780507835,15.5016077170418,311
adversarial_effectivity,nemotron3_nano_30b,qwen3_32b,0.1884214044208714,0.06057908896607833,225.66559485530547,422.1031784381497,214.475884244373,311
